#
# Optical constants of amorphous carbon ACH2
# from Zubko et al. (1996)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
4.13714288e-05  -4.63558846e-07  3.07223327e-11
4.15537015e-05  -4.69316824e-07  3.13367411e-11
4.17367772e-05  -4.52626390e-07  3.19468838e-11
4.19206595e-05  -4.53125584e-07  3.25543502e-11
4.21053520e-05  -4.59942491e-07  3.31960167e-11
4.22908581e-05  -4.78204498e-07  3.38448931e-11
4.24771816e-05  -4.81599160e-07  3.44909234e-11
4.26643259e-05  -4.82089844e-07  3.51660304e-11
4.28522948e-05  -4.66268504e-07  3.58563536e-11
4.30410918e-05  -4.57979573e-07  3.65436487e-11
4.32307206e-05  -4.84020453e-07  3.72538982e-11
4.34211849e-05  -4.83120365e-07  3.79882862e-11
4.36124883e-05  -5.00101197e-07  3.87194529e-11
4.38046345e-05  -4.92067631e-07  3.94665755e-11
4.39976273e-05  -4.86794704e-07  4.02477288e-11
4.41914704e-05  -4.84553758e-07  4.10254556e-11
4.43861675e-05  -4.92034679e-07  4.18112002e-11
4.45817224e-05  -5.11688359e-07  4.26421103e-11
4.47781388e-05  -5.32363251e-07  4.34693757e-11
4.49754206e-05  -5.27312915e-07  4.42956181e-11
4.51735716e-05  -5.40204592e-07  4.51795945e-11
4.53725956e-05  -5.29180585e-07  4.60596934e-11
4.55724965e-05  -5.39096770e-07  4.69359317e-11
4.57732781e-05  -5.36486552e-07  4.78692929e-11
4.59749442e-05  -5.43282986e-07  4.88059748e-11
4.61774989e-05  -5.49444403e-07  4.97385479e-11
4.63809459e-05  -5.41591673e-07  5.07207018e-11
4.65852893e-05  -5.32087582e-07  5.17170968e-11
4.67905330e-05  -5.46620641e-07  5.27091211e-11
4.69966810e-05  -5.71781856e-07  5.37427163e-11
4.72037372e-05  -5.79094973e-07  5.48031308e-11
4.74117056e-05  -5.70819839e-07  5.58588939e-11
4.76205903e-05  -5.64410365e-07  5.69465229e-11
4.78303953e-05  -5.66039391e-07  5.80748098e-11
4.80411246e-05  -5.84687355e-07  5.91981475e-11
4.82527824e-05  -5.87050118e-07  6.03423643e-11
4.84653726e-05  -5.97497387e-07  6.15427737e-11
4.86788995e-05  -6.14020970e-07  6.27379175e-11
4.88933672e-05  -5.99675275e-07  6.39414984e-11
4.91087797e-05  -5.95970347e-07  6.52190403e-11
