#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
4.13833333e-05  -3.84973000e-07  4.74480000e-11
4.19601455e-05  -3.95785000e-07  5.03447000e-11
4.25450981e-05  -4.06901000e-07  5.34190000e-11
4.31381951e-05  -4.18330000e-07  5.66821000e-11
4.37394307e-05  -4.30079000e-07  6.01447000e-11
4.43491059e-05  -4.42158000e-07  6.38197000e-11
4.49673837e-05  -4.54576000e-07  6.77205000e-11
4.55942679e-05  -4.67345000e-07  7.18607000e-11
4.62297524e-05  -4.80471000e-07  7.62551000e-11
4.68741741e-05  -4.93966000e-07  8.09193000e-11
4.75275346e-05  -5.07841000e-07  8.58711000e-11
4.81900119e-05  -5.22106000e-07  9.11270000e-11
4.88617937e-05  -5.36771000e-07  9.67057000e-11
4.95428806e-05  -5.51849000e-07  1.02628000e-10
5.02334652e-05  -5.67350000e-07  1.08914000e-10
5.09337513e-05  -5.83287000e-07  1.15588000e-10
5.16437393e-05  -5.99672000e-07  1.22674000e-10
5.23636394e-05  -6.16518000e-07  1.30196000e-10
5.30934470e-05  -6.33837000e-07  1.38182000e-10
5.38336123e-05  -6.51642000e-07  1.46661000e-10
5.45841449e-05  -6.69949000e-07  1.55663000e-10
5.53450428e-05  -6.88770000e-07  1.65221000e-10
5.61162916e-05  -7.08119000e-07  1.75370000e-10
5.68986457e-05  -7.28013000e-07  1.86147000e-10
5.76918609e-05  -7.48467000e-07  1.97590000e-10
5.84959267e-05  -7.69494000e-07  2.09741000e-10
5.93113860e-05  -7.91113000e-07  2.22643000e-10
6.01382477e-05  -8.13341000e-07  2.36347000e-10
6.09765082e-05  -8.36193000e-07  2.50900000e-10
6.18264576e-05  -8.59687000e-07  2.66338000e-10
6.26880895e-05  -8.83842000e-07  2.82081000e-10
6.35620338e-05  -9.08677000e-07  2.99250000e-10
6.44479744e-05  -9.34209000e-07  3.17554000e-10
6.53465763e-05  -9.60460000e-07  3.36987000e-10
6.62575050e-05  -9.87450000e-07  3.57617000e-10
6.71810995e-05  -1.01520000e-06  3.79514000e-10
6.81173495e-05  -1.04373000e-06  4.02757000e-10
6.90669975e-05  -1.07306000e-06  4.27425000e-10
7.00296702e-05  -1.10321000e-06  4.53613000e-10
7.10057479e-05  -1.13422000e-06  4.81400000e-10
7.19956391e-05  -1.16609000e-06  5.10891000e-10
7.29993532e-05  -1.19887000e-06  5.42192000e-10
7.40168841e-05  -1.23256000e-06  5.75406000e-10
7.50486622e-05  -1.26720000e-06  6.10649000e-10
7.60946847e-05  -1.30282000e-06  6.48047000e-10
7.71554108e-05  -1.33944000e-06  6.87721000e-10
7.82308424e-05  -1.37709000e-06  7.29814000e-10
7.93214708e-05  -1.41580000e-06  7.74476000e-10
8.04273045e-05  -1.45560000e-06  8.21864000e-10
8.15483345e-05  -1.49652000e-06  8.72129000e-10
8.26850841e-05  -1.53859000e-06  9.25449000e-10
8.38375517e-05  -1.58184000e-06  9.82008000e-10
8.50062993e-05  -1.62632000e-06  1.04198000e-09
8.61913357e-05  -1.67204000e-06  1.10561000e-09
8.73926510e-05  -1.71905000e-06  1.17309000e-09
8.86108474e-05  -1.76738000e-06  1.24466000e-09
8.98459267e-05  -1.81708000e-06  1.32055000e-09
9.10985390e-05  -1.86817000e-06  1.40102000e-09
9.23680138e-05  -1.92071000e-06  1.48637000e-09
9.36557031e-05  -1.97472000e-06  1.57685000e-09
9.49616405e-05  -2.03025000e-06  1.67281000e-09
9.62850938e-05  -2.08735000e-06  1.77451000e-09
9.76275292e-05  -2.14605000e-06  1.88235000e-09
9.89881916e-05  -2.20641000e-06  1.99668000e-09
1.00367840e-04  -2.26847000e-06  2.11788000e-09
1.01767300e-04  -2.33228000e-06  2.24639000e-09
1.03185751e-04  -2.39788000e-06  2.38254000e-09
1.04624019e-04  -2.46533000e-06  2.52689000e-09
1.06082097e-04  -2.53468000e-06  2.67988000e-09
1.07560885e-04  -2.60599000e-06  2.84203000e-09
1.09060403e-04  -2.67931000e-06  3.01389000e-09
1.10580649e-04  -2.75469000e-06  3.19603000e-09
1.12121595e-04  -2.83220000e-06  3.38906000e-09
1.13685271e-04  -2.91189000e-06  3.59357000e-09
1.15269628e-04  -2.99383000e-06  3.81025000e-09
1.16876759e-04  -3.07808000e-06  4.03986000e-09
1.18505692e-04  -3.16470000e-06  4.28313000e-09
1.20157642e-04  -3.25377000e-06  4.54089000e-09
1.21832502e-04  -3.34535000e-06  4.81396000e-09
1.23530863e-04  -3.43951000e-06  5.10326000e-09
1.25252725e-04  -3.53632000e-06  5.40978000e-09
1.26998708e-04  -3.63587000e-06  5.73437000e-09
1.28768942e-04  -3.73823000e-06  6.07827000e-09
1.30563954e-04  -3.84347000e-06  6.44252000e-09
1.32384021e-04  -3.95168000e-06  6.82829000e-09
1.34229276e-04  -4.06295000e-06  7.23691000e-09
1.36100435e-04  -4.17736000e-06  7.66971000e-09
1.37997650e-04  -4.29499000e-06  8.12803000e-09
1.39921220e-04  -4.41595000e-06  8.61344000e-09
1.41871608e-04  -4.54032000e-06  9.12743000e-09
1.43849298e-04  -4.66820000e-06  9.67169000e-09
1.45854456e-04  -4.79969000e-06  1.02480000e-08
1.47887584e-04  -4.93490000e-06  1.08583000e-08
1.49949031e-04  -5.07392000e-06  1.15045000e-08
1.52039149e-04  -5.21688000e-06  1.21886000e-08
1.54158492e-04  -5.36386000e-06  1.29129000e-08
1.56307443e-04  -5.51501000e-06  1.36794000e-08
1.58486394e-04  -5.67042000e-06  1.44911000e-08
1.60695541e-04  -5.83022000e-06  1.53504000e-08
1.62935490e-04  -5.99454000e-06  1.62601000e-08
1.65206885e-04  -6.16351000e-06  1.72230000e-08
1.67509725e-04  -6.33725000e-06  1.82425000e-08
1.69844670e-04  -6.51590000e-06  1.93209000e-08
1.72212181e-04  -6.69962000e-06  2.04626000e-08
1.74612730e-04  -6.88852000e-06  2.16711000e-08
1.77046805e-04  -7.08277000e-06  2.29500000e-08
1.79514653e-04  -7.28250000e-06  2.43034000e-08
1.82017039e-04  -7.48790000e-06  2.57356000e-08
1.84554231e-04  -7.69910000e-06  2.72510000e-08
1.87126764e-04  -7.91627000e-06  2.88549000e-08
1.89735196e-04  -8.13961000e-06  3.05523000e-08
1.92380105e-04  -8.36926000e-06  3.23480000e-08
1.95061787e-04  -8.60541000e-06  3.42479000e-08
1.97780840e-04  -8.84825000e-06  3.62578000e-08
2.00537891e-04  -9.09797000e-06  3.83846000e-08
2.03333257e-04  -9.35476000e-06  4.06350000e-08
2.06167591e-04  -9.61881000e-06  4.30147000e-08
2.09041574e-04  -9.89037000e-06  4.55330000e-08
2.11955195e-04  -1.01696000e-05  4.81973000e-08
2.14909882e-04  -1.04568000e-05  5.10153000e-08
2.17905649e-04  -1.07521000e-05  5.39959000e-08
2.20943249e-04  -1.10557000e-05  5.71481000e-08
2.24022664e-04  -1.13680000e-05  6.04818000e-08
2.27145487e-04  -1.16891000e-05  6.40092000e-08
2.30311732e-04  -1.20194000e-05  6.77403000e-08
